date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:28	293/293	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Jun%202023%2018:21:27%20GMT	https://ferret.pmel.noaa.gov/robots.txt		(from )
11:21:29	30439/30439	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:28%20GMT	https://ferret.pmel.noaa.gov/LAS/	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/index.html	(from )
11:21:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Jun%202023%2018:21:29%20GMT	https://ferret.pmel.noaa.gov/LAS/live-access-server	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/live-access-server.0.delayed	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Jun%202023%2018:21:30%20GMT	https://ferret.pmel.noaa.gov/LAS/node/1091	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/node/1091.1.delayed	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:32	74562/74562	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:31%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation.html	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:33	30414/30414	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:32%20GMT	https://ferret.pmel.noaa.gov/LAS/faq	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/faq.html	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:34	26731/26731	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:34%20GMT	https://ferret.pmel.noaa.gov/LAS/downloads	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/downloads.html	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:35	27302/27302	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:35%20GMT	https://ferret.pmel.noaa.gov/LAS/las-legal	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/las-legal.html	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:35	28479/28479	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:35%20GMT	https://ferret.pmel.noaa.gov/LAS/email-users-group	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/email-users-group.html	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:37	25942/25942	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:36%20GMT	https://ferret.pmel.noaa.gov/LAS/contact-us	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/contact-us.html	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Jun%202023%2018:21:37%20GMT	https://ferret.pmel.noaa.gov/LAS/list-of-operational-servers	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/list-of-operational-servers.8.delayed	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:39	72365/72365	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:38%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/list-of-operational-servers	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/list-of-operational-servers.html	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Jun%202023%2018:21:39%20GMT	https://ferret.pmel.noaa.gov/LAS/las-servers	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/las-servers.a.delayed	(from https://ferret.pmel.noaa.gov/LAS/)
11:21:41	82555/82555	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:21:40%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/las-servers	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/las-servers.html	(from https://ferret.pmel.noaa.gov/LAS/)
